"Emissions of Greenhouse Gases (Philippines)"

"Year";"Sector and Source Categories";"Carbon Dioxide (CO2)";"Methane (CH4)";"Nitrous Oxide (N2O)";"Hydroflourocarbons (HFCs)"
"2020";"..Manure Management";..;2751.749;4406.452;.
"2020";"..Direct N2O Emissions from Managed Soils";..;..;6875.216;.
"2020";"..Indirect N2O Emissions from Managed Soils";..;..;2277.200;.
"2020";"..Direct N2O Emissions from Manure Management";..;..;1220.157;.
"2020";"..Biomass Burning in Croplands and Grasslands";..;370.367;101.662;.
"2020";"..Liming";127.820;..;..;.
"2020";"..Urea Application";637.263;..;..;.
"2020";"FORESTRY AND OTHER LAND USE TOTAL EMISSIONS";-25935.063;..;..;.
"2020";"FORESTRY AND OTHER LAND USE TOTAL CO2 EQUIVALENT";-25935.063;.;.;.
"2020";"..Biomass Carbon Stock Silvopasture";-71354.677;..;..;.
"2020";"..Biomass Carbon Stock";11247.006;..;..;.
"2020";"..Biomass Carbon Stock Deforestation";31302.244;..;..;.
"2020";"..Biomass Carbon Stock Agroforestry/Perennial Crop";2125.769;..;..;.
"2020";"..Biomass Burning - Forests";744.594;..;..;.
"2020";"INDUSTRIAL PROCESSES AND PRODUCT USE TOTAL EMISSIONS";13666.388;27.705;..;3078.199
"2020";"INDUSTRIAL PROCESS AND PRODUCT USE TOTAL CO2 EQUIVALENT";16772.292;.;.;.
"2020";"..Mineral Industry";11779.664;..;..;..
"2020";"..Chemical Industry";559.974;20.915;..;..
"2020";"..Metal Industry";1280.711;6.790;..;..
"2020";"..Non-Energy Products from Fuels and Solvent Use";46.039;..;..;..
"2020";"..Product Uses as Substitutes for Ozone-Depleting Substances";..;..;..;3078.199
"2020";"WASTES TOTAL EMISSIONS";0.322;28646.324;1475.785;.
"2020";"WASTES TOTAL CO2 EQUIVALENT";30122.431;.;.;.
"2020";"..Solid Waste Disposal";..;11689.692;..;.
"2020";"..Biological Treatment of Solid Waste";..;391.664;222.335;.
"2020";"..Incineration and Open Burning of Waste";0.322;1.288;0.265;.
"2020";"..Wastewater Treatment and Discharge";..;16563.680;1253.185;.
"2020";"TOTAL NATIONAL GHG EMISSIONS (CO2-e)";204325.244;.;.;.
